DEA_CODE;DEA_NOM_COMMERCE;ADRESSE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON;INSEE_LIVRAISON;X_GEOCODAGE;Y_GEOCODAGE;TCO_LIBELLE
540206;Tabac de la Gare;9   Av. de l'Agent Sarre;92700;Colombes;92025;594390,235407;2436179,332821;tabac loto
540207;Le Havane;3   rue Baudin - C Com Charas;92400;Courbevoie;92026;593676,979126;2433023,528189;civette
540209;Le Louis XV;31   Bis R. des Bourguignons;92270;Bois-Colombes;92009;595338,923193;2435005,923094;tabac loto
540210;Aux Sports;41   R.Saint-Denis;92700;Colombes;92025;594085,894896;2436180,666512;tabac loto
540213;Mag Presse;25   Av. de l'Europe;92700;Colombes;92025;593170,639052;2436451,987347;presse
540214;Le Brazza;41   R.  Antonin Georges Belin;95100;Argenteuil;95018;593492,697661;2438676,002575;tabac loto
540215;Tabac la Grâce;5   Av. Gabriel Péri;95870;Bezons;95063;591086,543441;2436663,746754;tabac loto
540216;Le Village;3   R. du Bounard;92700;Colombes;92025;593844,833339;2436092,176705;tabac loto
540217;Mag Presse du Fgb;5   Av. Léonard de Vinci;92400;Courbevoie;92026;592566,989955;2433120,012206;tabac presse
540218;Le Victor Hugo;29   R. Victor Hugo;95870;Bezons;95063;591604,709010;2436857,990221;café tabac
540219;Tabac du Marché;2   R. Voltaire;92250;La Garenne-Colombes;92035;593431,636000;2434508,866000;café tabac
540220;Tabac la Basilique;2   R. Henri Barbusse;95100;Argenteuil;95018;593431,797837;2438170,929203;café tabac
540221;Le Chiquito;3   R. de Colombes;92400;Courbevoie;92026;594126,313000;2433217,792000;café tabac
540222;Hotel de Ville Café;12   Rd Point du Souvenir Français;92250;La Garenne-Colombes;92035;593538,033631;2434210,900969;café tabac
540223;Le Mondial;8   Pl. Louis Aragon;92700;Colombes;92025;592134,049024;2435192,444544;tabac loto
540224;Saveurs de Colombes;125   Av. de Stalingrad;92700;Colombes;92025;594879,042302;2437060,078811;boulangerie
540225;L‘euphrate;34   R.Edgar Quinet;92700;Colombes;92025;593491,721347;2436245,097316;tabac loto
540226;Les Arcades;4   R. Athime Rué;92380;Garches;92033;589029,050000;2427384,150000;café tabac
540227;Le Celtique;41   R. Armand Silvestre;92400;Courbevoie;92026;594722,009709;2433610,988879;café tabac
540228;La Divette;61   R. Paul Vaillant Couturier;95100;Argenteuil;95018;593777,005067;2438498,469152;café tabac
540229;La Porte des Ternes;108   Av. des Ternes;75017;Paris ;75117;596242,300000;2431378,436000;tabac loto
540230;A Jean Bart;2   R. Jouffroy d'Abbans;75017;Paris ;75117;598347,151213;2432115,561419;café tabac
540231;Lumière des Justes;21   R. des Moines;75017;Paris ;75117;598732,100000;2432265,350000;presse
540232;Cépage Montmartrois;65   R. Caulaincourt;75018;Paris ;75118;599945,605023;2432357,667657;café tabac
540233;Le Voltigeur;118   Bd  Berthier;75017;Paris ;75117;597385,694831;2432256,616279;tabac librairie
540234;Le Flash;25   Bd  Ornano;75018;Paris ;75118;600867,631152;2432766,117198;café tabac
540235;Librairie - Presse;106   Bd Berthier;75017;Paris ;75117;597507,331946;2432359,097644;presse
540236;Le Narval;17   R. des Dames;75017;Paris ;75117;599146,700000;2431839,700000;café tabac
540237;Le Courcelles;94   Bd de Courcelles;75017;Paris ;75117;597554,165960;2431206,453618;café tabac
540238;Tabac Point Presse;2   R. Frédéric Schneider Hall 1;75018;Paris ;75118;600136,385000;2433324,235000;tabac presse
540239;Le Maillot;78   Av. de la Grande Armée;75017;Paris ;75117;596152,659862;2430994,520343;café tabac
540240;Tabac Forest;5   R. Forest;75018;Paris ;75118;599476,504977;2431853,766718;tabac loto
540243;Cité de lLa Presse;29   R.Tristan-Tzara;75018;Paris ;75118;601923,929000;2433019,582500;tabac presse
540244;Civette Des Arts;62   R. Damrémont;75018;Paris ;75118;599852,051200;2432512,800000;civette
540245;La Caravelle;14   R. d'Amsterdam;75009;Paris ;75109;599292,199076;2430887,603288;café tabac
540246;Le Tocqueville;55   Bd Pereire;75017;Paris ;75117;597867,556682;2432136,290713;café tabac
540247;Le Clignancourt;79   Bd Ornano;75018;Paris ;75118;600600,050000;2433241,950000;café tabac
540248;Le Celtic;89   R. de la chapelle;75018;Paris ;75118;601661,919137;2433280,201976;café tabac
540249;Le Lamarck;55   R. Lamarck;75018;Paris ;75118;600159,047000;2432406,487000;café tabac
540250;L'Ariel;20   R. des Martyrs;75009;Paris ;75109;600221,099000;2431055,945000;café tabac
540251;Le Marigny;30   R. des Batignolles;75017;Paris ;75117;598843,322000;2431859,986000;café tabac
540252;Le Calumet;29   R. Ramey;75018;Paris ;75118;600742,824000;2432262,913500;civette
540253;Divette de Clichy;18   Av. de Clichy;75018;Paris ;75118;599285,832000;2431848,233000;café tabac
540254;La Civette Péreire;210   Bd Péreire;75017;Paris ;75117;596432,946000;2431313,387000;civette
540255;Le Marigny;1   avenue Laumière;75019;Paris 19e;75119;603313,962000;2431585,610000;café tabac
540257;Tabac L'Horloge;212   avenue Jean Jaurès;75019;Paris 19e;75119;604151,689961;2432278,347233;tabac loto
540258;Tabac Loto Pmu;1   rue de Romainville;75019;Paris 19e;75119;604601,424670;2430807,070378;tabac loto
540259;La Plume D'Or;10   boulevard de la Villette;75019;Paris 19e;75119;602906,298870;2430525,630697;tabac loto
540260;Tabac Presse;36   avenue Simon Bolivar;75019;Paris 19e;75119;603360,317000;2430770,707000;tabac presse
540261;Tabac La Gitane;3   rue Lassus;75019;Paris 19e;75119;603858,548400;2430762,822000;tabac loto
540262;Tabac Presse;37   rue Alphonse Karr;75019;Paris 19e;75119;603141,601843;2433040,699689;tabac librairie
540263;Le Saint Cyr;22   Bd Gouvion Saint-Cyr;75017;Paris ;75117;596485,306302;2431726,805113;civette
540264;Le Rallye;79   Bd  Barbès;75018;Paris ;75118;600960,107594;2432582,539796;café tabac
540265;Tabac Le Rallye;107   rue Manin;75019;Paris 19e;75119;603776,818294;2431659,652737;tabac loto
540266;Le Concorde;146   avenue Jean Jaurès;75019;Paris 19e;75119;603688,258000;2432092,851000;café tabac
540267;Civette Brunet;2   avenue de la porte Brunet;75019;Paris 19e;75119;604317,774072;2431674,726219;civette
540268;L‘Energie;65   R. de Maubeuge;75009;Paris ;75109;600952,709181;2431263,843521;café tabac
540269;Le Bolivar;125   avenue Simon Bolivar;75019;Paris 19e;75119;602746,432997;2431382,134007;tabac
540270;Le Totem;156   rue Danielle Casanova;93300;Aubervilliers;93001;604751,355000;2435219,111000;librairie
540272;Le Rallye;11   avenue Jean Jaurès;93300;Aubervilliers;93001;603922,017055;2433726,768524;café tabac
540273;  ;23   rue du commandant L'Herminier;93300;Aubervilliers;93001;603706,456351;2435598,761100;tabac presse
540275;Le Balto;125   boulevard Magenta;75010;Paris 10e;75110;601166,550000;2431337,100000;tabac loto
540276;Le Reilhac;63   R. du Fbg Saint-Denis;75010;Paris ;75110;601285,804000;2430437,250000;café tabac
540278;  ;120   rue Hélène Cochennec;93300;Aubervilliers;93001;604265,634002;2435724,739666;tabac presse
540279;  ;10   rue du 8 Mai 1945;75010;Paris 10e;75110;601490,550000;2430896,450000;café tabac
540280;Tabac De La Mairie;20   rue du Moutier;93300;Aubervilliers;93001;603344,311325;2435162,619355;café tabac
540281;Le Saint Maur;217   rue saint-Maur;75010;Paris 10e;75110;602519,159335;2430531,347331;librairie
540282;;4   rue Charron;93300;Aubervilliers;93001;603465,019208;2435155,498847;presse
540283;Galaxie Millionnair;167   avenue Victor Hugo;93300;Aubervilliers;93001;603157,661000;2434823,774000;café tabac
540284;La Vallée De Vinales;260   R.du faubourg saint-Martin;75010;Paris 10e;75110;602273,350776;2431634,828776;tabac
540285;Le Derby;9   rue Chabrol;75010;Paris 10e;75110;601373,026881;2430918,701628;café tabac
540287;Le Jean Bart;2   rue Charles Tillon;93300;Aubervilliers;93001;604066,120955;2435151,100546;café tabac
540288;Le Terminus;4   Pl. Jacques Froment;75018;Paris ;75118;599624,550000;2432518,223000;café tabac
540289;LE CALUMET;9   Avenue Secrétan;75019;Paris 19e;75119;602545,475655;2431534,641620;café tabac
540290;Le Niel;42   R. Pierre Demours;75017;Paris ;75117;596966,950000;2431472,112000;café tabac
540291;TABAC PORTE-CHAUMONT;84   Rue Manin;75019;Paris 19e;75119;604202,318585;2431982,977838;café tabac
540292;  ;41   Av. Corentin Cariou;75019;Paris 19e;75119;603629,905467;2433318,856162;café tabac
540293;LE NAVY;26   Rue du Chateau d'Eau;75010;Paris 10e;75110;601725,572000;2430210,860000;café tabac
540294;Tabac de la Place ;123   Bd Péreire;75017;Paris ;75117;597165,363778;2431868,293314;tabac loto
540295;Le Navigateur;103   Avenue Simon Bolivar;75019;Paris 19e;75119;602763,100000;2431091,800000;café tabac
540296;Tabac Presse;125   Bd  Bessières;75017;Paris ;75117;598359,522536;2432904,523287;librairie
540297;La Havane;4   Pl. de Clichy;75009;Paris ;75109;599362,063296;2431687,892568;café tabac
540298;La Comète;50   R. Marx Dormoy;75018;Paris ;75118;601710,651467;2432190,852134;café tabac
540299;Le Dunhill;38   R. de Rochechouart;75009;Paris ;75109;600666,244666;2431206,821998;café tabac
540300;Tabac de l'Ourcq;98   R. de L'ourcq;75019;Paris ;75119;602707,051400;2432829,728352;tabac loto
540301;Le Café du Quartier;228   R. Championnet;75018;Paris ;75118;599490,591000;2432799,799000;café tabac
540302;LE LUTETIA;156   rue La Fayette;75010;Paris 10e;75110;601506,981000;2431223,042000;café tabac
540303;LE PONT DE STAINS;128   Bd Felix Faure;93300;Aubervilliers;93001;603042,984000;2434485,997000;café tabac
540304;Le Vizir;173   R. Ordener;75018;Paris ;75118;600024,000000;2432809,300000;café tabac
540305;Le Brazza;53   R.de Tocqueville;75017;Paris ;75117;598078,400000;2431899,301000;café tabac
540306;Le Gévaudan;28   R. de Lévis;75017;Paris ;75117;598417,141000;2431597,570000;café tabac
540307;Le Boursault;62   R. des Dames;75017;Paris ;75117;598817,255000;2431697,915000;café tabac
540308;La Renaissance;188   R. Ordener;75018;Paris ;75118;599716,813000;2432872,623000;café tabac
540309;Le Celtique;39   avenue de la République;93300;Aubervilliers;93001;603555,389172;2434741,632126;café tabac
540310;Le Reinitas;18   R. du Poteau;75018;Paris ;75118;600450,612908;2432790,455193;café tabac
540311;Civette Bessière;95   Bd  Bessières;75017;Paris ;75117;598662,678093;2433091,037758;civette
540313;Tabac;.   CC Bobigny2, Bd Maurice Thorez;93000;Bobigny;93008;608152,802047;2434277,175654;civette
540314;  ;60   rue saint-Stenay;93700;Drancy;93029;606188,816058;2435811,028027;presse
540315;  ;7   place Nicole Neuburger;93140;Bondy;93010;611299,027774;2433739,729004;tabac loto
540316;Le Globe;27   avenue Pierre et Marie Curie;93150;Le Blanc-Mesnil;93007;609089,586000;2437517,590000;café tabac
540317;Le Fontenoy;134   avenue de la Résistance;93340;Le Raincy;93062;613262,167000;2433439,802000;café tabac
540320;Le Brazza;7   boulevard de la République;93130;Noisy-le-Sec;93053;609152,856500;2433061,997500;tabac presse
540321;  ;2   square Stephenson;93130;Noisy-le-Sec;93053;609226,473261;2432145,922709;tabac presse
540322;Le Belwo;63   avenue Louis Aragon;93000;Bobigny;93008;607645,162116;2435176,575851;café tabac
540323;Presse;14   rue Arthur Fontaine;93700;Drancy;93029;608809,177959;2435821,718947;tabac presse
540324;La Civette;4   boulevard de Chanzy;93190;Livry-Gargan;93046;613297,537333;2434501,202666;tabac loto
540325;Au Bar Des Amis;38   Chemin de Groslay;93000;Bobigny;93008;609877,598544;2434331,296415;café tabac
540328;L'Europeen;48   rue Honoré d'Estienne d'Orves;93000;Bobigny;93008;608770,759790;2434543,650624;tabac presse
540329;Yanis;64   rue Jules Guesde;93140;Bondy;93010;610522,714077;2433895,035217;tabac librairie
540330;La Civette;8   place du général de Gaulle;93340;Le Raincy;93062;612859,907023;2432494,577852;civette
540331;Le Totem;C.Com   Beausevran Rte des Pts Ponts  ;93270;Sevran;93071;613557,912158;2439074,164015;tabac loto
540332;Le Celtique;1   Bld Paul Vaillant Couturier;93700;drancy;93029;608014,695652;2436141,186957;café tabac
540333; Le Régence;5   Av. du 8 Mai 1945;95200;Sarcelles;95585;602837,590432;2442090,297772;café tabac
540334;  ;23   Av. de Commune de Paris;95140;Garges-lès-Gonesse;95268;604596,971571;2441447,344860;tabac presse
540335; Bar Tabac l'Aviatic;30   Av. de la Division Leclerc;93350;Le Bourget;93013;606419,020862;2437215,425308;tabac loto
540336; Tabac Le Muratti;2   Av. Jean Mermoz;93120;La Courneuve;93027;604609,291956;2437094,310134;café tabac
540337; Le Saint Claude;54   Av. Jean Lolive;93500;Pantin;93055;604796,034378;2432533,154648;tabac loto
540338; Tabac Victor Hugo;135   Av. Jean Lolive;93500;Pantin;93055;605563,605020;2432749,190457;tabac loto
540339; Le Vaillant;130   Av. Paul Vaillant-Couturier;93120;La Courneuve;93027;605744,205200;2436270,605400;café tabac
540340; Le Royal 4 Chemins;70   Av. Jean Jaurès;93500;Pantin;93055;604057,610332;2433892,946665;tabac loto
540341; l'Imprevu;1   Av. Paul Vaillant-Couturier;93120;La Courneuve;93027;605219,716414;2435542,846920;café tabac
540342;La Bonne Presse;8   rue Jean Jaurès;93130;Noisy-le-Sec;93053;608610,003315;2432505,639390;presse
540343;Le Strasbourg;1   boulevard de Strasbourg;93600;Aulnay-sous-Bois;93005;611500,275000;2436887,694000;café tabac
540344;Presse des 4 routes;61   Av. Paul Vaillant-Couturier;93120;La Courneuve;93027;605444,852098;2435862,095844;presse
540345;Pep's;7   Place Gabriel Péri;93440;Dugny;93030;605914,178036;2439625,081929;librairie
540346;Maison De La Presse;95   avenue Henri Barbusse;93700;Drancy;93029;608187,893956;2435566,748993;presse
540347;  ;3   place de la porte de Vanves;75014;Paris 14e;75114;597698,723699;2425461,696501;librairie
540348;Café D'Orléans;43   avenue du général Leclerc;75014;Paris 14e;75114;599426,956200;2425731,960200;café tabac
540349;Les Facultés;110   rue d'Assas;75006;Paris 6e;75106;599860,361000;2427134,939000;café tabac
540350;Civette Rennes;111   rue de Rennes;75006;Paris 6e;75106;599397,322771;2427795,189329;tabac librairie
540351;Tabac De La Mairie;165   avenue du Maine;75014;Paris 14e;75114;599140,650000;2426054,200000;tabac
540353;  ;2   avenue de la porte Didot;75014;Paris 14e;75114;598100,039000;2425339,486000;presse
540354;Le Fontenoy;108   rue d'Alésia;75014;Paris 14e;75114;598978,388919;2425661,179815;café tabac
540355;Le Rallye;81   rue de la Tombe-Issoire;75014;Paris 14e;75114;599696,440717;2425456,286620;café tabac
540356;  ;50   rue du Cherche-Midi;75006;Paris 6e;75106;599214,661000;2427873,814000;tabac presse
